state,year,total_rev
Alabama,1995,9400
Alabama,1996,9062
Alabama,1997,10464
Alabama,1998,10631
Alabama,1999,11178
Alabama,2000,11822
Alabama,2001,11260
Alabama,2002,11656
Alabama,2003,11472
Alabama,2004,11340
Alabama,2005,11880
Alabama,2006,11959
Alabama,2007,12625
Alabama,2008,13122
Alabama,2009,11902
Alabama,2010,11871
Alabama,2011,11839
Alabama,2012,11051
Alabama,2013,10858
Alabama,2014,10853
Alabama,2015,
Alabama,2016,11023
Alabama,2017,11284
Alaska,1995,18087
Alaska,1996,17594
Alaska,1997,17118
Alaska,1998,17528
Alaska,1999,17171
Alaska,2000,17472
Alaska,2001,17047
Alaska,2002,17101
Alaska,2003,17191
Alaska,2004,17156
Alaska,2005,17752
Alaska,2006,17081
Alaska,2007,18080
Alaska,2008,21140
Alaska,2009,20473
Alaska,2010,20684
Alaska,2011,21148
Alaska,2012,20950
Alaska,2013,21709
Alaska,2014,21292
Alaska,2015,24123
Alaska,2016,20296
Alaska,2017,20050
Arizona,1995,10541
Arizona,1996,10737
Arizona,1997,10742
Arizona,1998,11160
Arizona,1999,11425
Arizona,2000,11881
Arizona,2001,11463
Arizona,2002,11758
Arizona,2003,11830
Arizona,2004,12131
Arizona,2005,11924
Arizona,2006,11787
Arizona,2007,11810
Arizona,2008,11701
Arizona,2009,10970
Arizona,2010,11088
Arizona,2011,10401
Arizona,2012,9536
Arizona,2013,9594
Arizona,2014,9377
Arizona,2015,9336
Arizona,2016,9799
Arizona,2017,9773
Arkansas,1995,9332
Arkansas,1996,9553
Arkansas,1997,9982
Arkansas,1998,10679
Arkansas,1999,10954
Arkansas,2000,11151
Arkansas,2001,11228
Arkansas,2002,11571
Arkansas,2003,11571
Arkansas,2004,11545
Arkansas,2005,12672
Arkansas,2006,12547
Arkansas,2007,12343
Arkansas,2008,12206
Arkansas,2009,12350
Arkansas,2010,12995
Arkansas,2011,12852
Arkansas,2012,12489
Arkansas,2013,11839
Arkansas,2014,11742
Arkansas,2015,11868
Arkansas,2016,12083
Arkansas,2017,12077
California,1995,11268
California,1996,11333
California,1997,12325
California,1998,12939
California,1999,12998
California,2000,13791
California,2001,14887
California,2002,14629
California,2003,15409
California,2004,14777
California,2005,14475
California,2006,14684
California,2007,15320
California,2008,15022
California,2009,14632
California,2010,13258
California,2011,13531
California,2012,12807
California,2013,12438
California,2014,12695
California,2015,13569
California,2016,15482
California,2017,15700
Colorado,1995,11774
Colorado,1996,11747
Colorado,1997,11904
Colorado,1998,12050
Colorado,1999,12516
Colorado,2000,12670
Colorado,2001,12602
Colorado,2002,13027
Colorado,2003,13475
Colorado,2004,13347
Colorado,2005,13282
Colorado,2006,13080
Colorado,2007,12913
Colorado,2008,12769
Colorado,2009,12750
Colorado,2010,12991
Colorado,2011,12397
Colorado,2012,11743
Colorado,2013,
Colorado,2014,11519
Colorado,2015,
Colorado,2016,12343
Colorado,2017,12471
Connecticut,1995,18334
Connecticut,1996,18579
Connecticut,1997,18272
Connecticut,1998,18508
Connecticut,1999,19262
Connecticut,2000,19595
Connecticut,2001,19979
Connecticut,2002,20017
Connecticut,2003,20237
Connecticut,2004,20354
Connecticut,2005,20998
Connecticut,2006,21389
Connecticut,2007,21345
Connecticut,2008,21390
Connecticut,2009,21986
Connecticut,2010,21539
Connecticut,2011,21228
Connecticut,2012,21518
Connecticut,2013,21640
Connecticut,2014,22189
Connecticut,2015,22897
Connecticut,2016,23772
Connecticut,2017,23404
Delaware,1995,15250
Delaware,1996,15720
Delaware,1997,15801
Delaware,1998,15909
Delaware,1999,16460
Delaware,2000,17145
Delaware,2001,17358
Delaware,2002,17381
Delaware,2003,17730
Delaware,2004,18159
Delaware,2005,18360
Delaware,2006,18554
Delaware,2007,19241
Delaware,2008,18348
Delaware,2009,17802
Delaware,2010,17611
Delaware,2011,17034
Delaware,2012,17663
Delaware,2013,17953
Delaware,2014,17311
Delaware,2015,17693
Delaware,2016,17772
Delaware,2017,18916
District of Columbia,1995,17673
District of Columbia,1996,16858
District of Columbia,1997,17534
District of Columbia,1998,17403
District of Columbia,1999,19445
District of Columbia,2000,22007
District of Columbia,2001,25668
District of Columbia,2002,27450
District of Columbia,2003,26515
District of Columbia,2004,25213
District of Columbia,2005,25251
District of Columbia,2006,24473
District of Columbia,2007,26065
District of Columbia,2008,25843
District of Columbia,2009,22727
District of Columbia,2010,29359
District of Columbia,2011,30542
District of Columbia,2012,30990
District of Columbia,2013,29627
District of Columbia,2014,29145
District of Columbia,2015,28643
District of Columbia,2016,28050
District of Columbia,2017,31277
Florida,1995,12761
Florida,1996,12466
Florida,1997,12419
Florida,1998,12916
Florida,1999,13507
Florida,2000,13050
Florida,2001,12890
Florida,2002,12243
Florida,2003,12385
Florida,2004,12897
Florida,2005,12911
Florida,2006,13330
Florida,2007,14442
Florida,2008,14308
Florida,2009,12474
Florida,2010,12157
Florida,2011,11858
Florida,2012,10431
Florida,2013,10282
Florida,2014,10459
Florida,2015,10555
Florida,2016,10856
Florida,2017,10939
Georgia,1995,11200
Georgia,1996,11651
Georgia,1997,11797
